"STR_TIP_TIP","Tip: ","Совет: ","Astuce :","Tipp:","Wskazówka:","Dica:","Consejo:","Consigli:"
"STR_TIP_001","You can protect your group with a password. Otherwise, leave the textbox empty.","При создании группы, Вы можете защитить ее паролем или оставить поле для пароля пустым.","Vous pouvez protéger votre groupe avec un mot de passe. Si vous ne voulez pas utiliser de mot de passe laissez la case vide.","Bei der Erstellung einer Gruppe können Sie diese mit einem Passwort schützen, andernfalls können Sie auch das Textfeld leer lassen.","Możesz chronić swoją grupę hasłem, w innym wypadku zostaw pole puste.","Você pode proteger seu grupo com uma senha. Se você não quiser, deixe a caixa de texto vazia.","Puedes proteger a tu grupo con una contraseña. De otra manera, deja el chat vacío.","You can protect your group with a password. Otherwise, leave the textbox empty."
"STR_TIP_002","The goal is to capture and hold the Control Points, which are marked on the map.","Цель игры - захват и удержание Контрольных Точек, обозначенных на карте.","L'objectif est de capturer et tenir les zones de contrôle marquées sur la carte.","Das Ziel dieser Mission ist es die Kontrollpunkte, die auf der Karte markiert sind, zu erobern und zu halten.","Celem jest przejęcie i utrzymanie Punktów Kontrolnych, które są zaznaczone na mapie.","Seu objetivo é capturar e defender as áreas de controle que estão marcados no mapa.","El objetivo es capturar y mantener los puntos de Control, que estan marcados en el mapa.","The goal is to capture and hold the Control Points, which are marked on the map."
"STR_TIP_003","To capture a point, you have to be within the black-shaded zone for some time.","Для захвата Контрольной Точки, необходимо находиться внутри заштрихованной области.","Pour capturer une zone, vous devez être à l'intérieur de la partie grisée pendant quelques secondes.","Um einen Kontrollpunkt zu erobern müssen Sie sich in der schwarz gestrichelten Zone für eine gewisse Zeit lang aufhalten.","Aby przejąć punkt, musisz pozostać w ciemniejszym polu przez pewien czas."," Para capturar uma área, você deve entrar na área marcada e ficar lá por algum tempo.","Para capturar puntos, tienes que estar en la zona sombreada por algún tiempo.","To capture a point, you have to be within the black-shaded zone for some time."
"STR_TIP_004","Your team instantly receives some additional points to their score, when a Control point is captured.","Ваша команда получает очки за каждую захваченную Контрольную Точку.","Votre équipe reçoit instantanément quelques points supplémentaires quand une zone est capturée.","Der Punktestand Ihres Teams erhöht sich, wenn ein Kontrollpunkt erobert wurde.","Twoja drużyna otrzymuje odrazu dodatkowe punkty po przejęciu punktu kontrolnego.","Sua equipe receberá pontos sempre que uma área for capturada por algum membro de sua equipe.","Tu equipo recibirá instantaneamente algunos puntos adicionales en sus puntuaciones, cuando un punto de Control es capturado.","Your team instantly receives some additional points to their score, when a Control point is captured."
"STR_TIP_005","Every 15 sec. a captured Control point gives additional points to your team.","Через каждые 15 секунд Ваша команда получает очки за каждую захваченную Контрольную Точку.","Toutes les 15 secondes, une zone capturée vous donne des points supplémentaires. ","Nach jeden 15 Sekunden erhält Ihr Team für jeden eroberten Kontrollpunkt zusätzliche Punkte.","Przejęty punkt kontrolny daje twojej drużynie dodatkowe punkty co 15 sek.","A cada 15 segundos um área capturada dá pontos adicionais para os membros de sua equipe.","Cada 15 seg un punto de Control capturado da puntos adicionales a tu equipo.","Every 15 sec. a captured Control point gives additional points to your team."
"STR_TIP_006","When the round is over, all captured Control points give bonus points to your team.","В конце раунда за каждую захваченную Контрольную Точку Ваша команда получает Бонус.","Quand la partie est finie, les zones de captures encore sous contrôle donnent des points bonus à votre équipe.","Wenn die Runde vorbei ist, geben alle eroberten Kontrollpunkte Ihrem Team Bonuspunkte.","Po skończeniu rundy, wszystkie przejęte punkty kontrolne dają dodatkowe punkty twojej drużynie.","Quando terminar o jogo, todas as áreas capturadas irá gerar pontos para sua equipe.","Cuando termina la ronda, todos los puntos de Control capturados darán puntos de bonificación a tu equipo.","When the round is over, all captured Control points give bonus points to your team."
"STR_TIP_007","The team with a higher score wins the match.","Команда с наибольшим количеством очков, полученных за захват Контрольных Точек выигрывает раунд.","L'équipe ayant le plus haut score gagne la partie.","Das Team mit den meisten Punkten gewinnt die Runde.","Drużyna z lepszym wynikiem wygrywa mecz.","A equipe com maior numero de pontos ganhará a partida.","El equipo con puntuación mas alta ganará la partida.","The team with a higher score wins the match."
"STR_TIP_008","You can spend your money purchasing more powerful vehicles, weapons and equipement in game.","Вы можете тратить свои деньги на покупку вооружения и техники.","Vous pouvez utiliser votre argent pour acheter des véhicules, des armes et de l'équipement.","Sie können Ihr Geld für Waffen und Fahrzeuge ausgeben.","Możesz użyć pieniędzy do kupowania lepszych pojazdów, broni i ekwipunku w grze.","Você pode gastar o seu dinheiro comprando veículos melhores, armas e equipamentos durante a partida.","Puedes gastar tu dinero comprando mejores vehiculos, armas y equipamiento durante la partida.","You can spend your money purchasing more powerful vehicles, weapons and equipement in game."
"STR_TIP_009","Every 60 seconds you receive some funds depending on number of Control points captured at the moment.","Каждые 60 секунд Вы получаете деньги в размере, зависящем от количества захваченных точек Вашей командой.","Toutes les 60 secondes you recevez de l'argent, le montant varie en fonction du nombre de zones que votre équipe contrôle.","Nach jeden 60 Sekunden erhalten Sie eine bestimmte Menge an Geld, welche von der Anzahl der eroberten Kontrollpunkte abhängt.","Otrzymujesz dodatkowe pieniądze za każdy przejęty punkt kontrolny co 60 sek.","A cada 60 segundos você receberá dinheiro, dependendo do número de áreas capturadas pela sua equipe.","Cada 60 segundos recibiras fondos dependiendo del numero de puntos de Control capturados en ese momento.","Every 60 seconds you receive some funds depending on number of Control points captured at the moment."
"STR_TIP_010","The more Control points you capture, the less money you will get!","Чем больше Контрольных Точек захвачено Вашей командой, тем меньше денег Вы получаете в минуту.","Plus vous contrôlez de zones de capture et moins vous gagnez d'argent par minute.","Je mehr Kontrollpunkte Ihr Team erobert, desto weniger erhalten Sie an Geld pro Minute."," Im więcej punktów kontrolnych przejmiesz tym mniej pieniędzy otrzymasz.","Quanto maior for o numero de áreas capturadas, mais dinheiro receberá.","Contra mas puntos de Control captures, menos dinero recibirás.","The more Control points you capture, the less money you will get!"
